id1,id2,entity1,entity2,word_path1,word_path2,dep_path1,dep_path2,pos_path1,pos_path2,original_sentence,ent1type,ent2type,relation,id_entities_pair
247,245,Alpes-de-Haute-Provence,France,,,,,,,"Le est un fleuve côtier du Sud-Est de la France se jetant dans la mer Méditerranée après avoir coulé dans les deux départements des Alpes-de-Haute-Provence et Alpes-Maritimes, dans la région Provence-Alpes-Côte d'Azur.",departement,lieu,http://www.wikidata.org/prop/direct/P17,278
247,250,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,,,,,,,"Le est un fleuve côtier du Sud-Est de la France se jetant dans la mer Méditerranée après avoir coulé dans les deux départements des Alpes-de-Haute-Provence et Alpes-Maritimes, dans la région Provence-Alpes-Côte d'Azur.",departement,region,http://www.wikidata.org/prop/direct/P150,280
248,245,Alpes-Maritimes,France,,,,,,,"Le est un fleuve côtier du Sud-Est de la France se jetant dans la mer Méditerranée après avoir coulé dans les deux départements des Alpes-de-Haute-Provence et Alpes-Maritimes, dans la région Provence-Alpes-Côte d'Azur.",departement,lieu,http://www.wikidata.org/prop/direct/P17,282
266,268,Louviers,Trévires,Louviers/ville/Vière,Trévires/tribu/nom/Vière,nmod/conj/nmod,nmod/nmod/conj/nmod,PROPN/NOUN/PROPN,PROPN/NOUN/NOUN/PROPN,"Le vocalisme ""uer-"" est le plus fréquent, on le retrouve dans le nom de la Vire, dans la Vière, la ville de Louviers et le nom de la tribu celte des Trévires.",commune,lieu,,307
309,307,Entraunes,Alpes-Maritimes,,,,,,,"Dans les deux départements des Alpes-de-Haute-Provence  et des Alpes-Maritimes , le Var traverse les trente-et-une communes suivantes, de l'amont vers l'aval, de Entraunes , Saint-Martin-d'Entraunes, Villeneuve-d'Entraunes, Guillaumes, Daluis, Saint-Léger, Sausses, Castellet-lès-Sausses, Saint-Benoît, Entrevaux, Puget-Théniers, Rigaud, Touët-sur-Var, Villars-sur-Var, Malaussène, Massoins, Tournefort, Utelle, Revest-les-Roches, Bonson, Levens, La Roquette-sur-Var, Saint-Martin-du-Var, Saint-Blaise, Castagniers, Carros, Gattières, Saint-Jeannet, La Gaude, Nice, Saint-Laurent-du-Var .",commune,departement,http://www.wikidata.org/prop/direct/P131,429
353,354,Saint-Martin-du-Var,Touet-sur-Var,,,,,,,"Le fleuve le Var a donné son hydronyme aux cinq communes suivantes de La Roquette-sur-Var, Saint-Laurent-du-Var, Saint-Martin-du-Var, Touet-sur-Var, Villars-sur-Var.",commune,lieu,,484
395,396,Var,Seine,Var/crues/supérieures,Seine/celles/supérieures,nmod/nsubj/ROOT,nmod/nmod/ROOT,PROPN/NOUN/ADJ,PROPN/PRON/ADJ,Ainsi les crues du Var sont nettement supérieures à celles de la Seine à l'entrée de Paris .,departement,lieu,,536
733,732,1982,France,,,,,,,"Le développement des satellites de reconnaissance prend sa source en France dans le projet SAMRO , qui sera abandonné en 1982.",date,lieu,,860
755,756,France,Allemagne,France,Allemagne/France,nmod,conj/nmod,PROPN,PROPN/PROPN,"Mais, lorsque le projet de deuxième génération des satellites Helios 2 est lancé en 1998, les négociations engagées entre la France et l'Allemagne autour d'un programme commun échouent pour des raisons à la fois budgétaires et politiques.",lieu,pays,,889
770,771,France,Belgique,France/financé,Belgique/minoritaire/participation/financé,nmod/parataxis,nmod/appos/nmod/parataxis,PROPN/VERB,PROPN/NOUN/NOUN/VERB,"L'Italie développe à la même époque ses satellites de reconnaissance radar COSMO-SkyMed Le programme Helios 2 sera financé à 90 % par la France avec une participation minoritaire de la Belgique, de l'Espagne rejoints en cours de développement par la Grèce et l'Italie .",lieu,pays,,915
770,772,France,Espagne,France/financé,Espagne/participation/financé,nmod/parataxis,nmod/nmod/parataxis,PROPN/VERB,PROPN/NOUN/VERB,"L'Italie développe à la même époque ses satellites de reconnaissance radar COSMO-SkyMed Le programme Helios 2 sera financé à 90 % par la France avec une participation minoritaire de la Belgique, de l'Espagne rejoints en cours de développement par la Grèce et l'Italie .",lieu,pays,,923
783,780,COSMO-SkyMed,Italie,,,,,,,"En parallèle, en 2001, la France signe un accord avec l'Italie, dit « accord de Turin », qui permet un échange capacitaire entre les systèmes Helios 2 et COSMO-SkyMed.",lieu,pays,,948
793,794,France,Allemagne,France,Allemagne/France,dobj,conj/dobj,PROPN,PROPN/PROPN,"Un accord équivalent portant sur les systèmes Helios 2 et SAR-Lupe, dit « accord de Schwerin », est signé en 2002 entre la France et l'Allemagne.",lieu,pays,,960
792,790,2002,SAR-Lupe,,,,,,,"Un accord équivalent portant sur les systèmes Helios 2 et SAR-Lupe, dit « accord de Schwerin », est signé en 2002 entre la France et l'Allemagne.",date,societe,,967
793,790,France,SAR-Lupe,,,,,,,"Un accord équivalent portant sur les systèmes Helios 2 et SAR-Lupe, dit « accord de Schwerin », est signé en 2002 entre la France et l'Allemagne.",lieu,societe,,970
803,802,2010,Allemagne,,,,,,,"Il conduira aussi l'Allemagne à accueillir, à l'instar des nations participantes, une station au sol de réception des images Helios en janvier 2010.",date,pays,,981
900,901,Saint-Simon,1817,,,,,,,"Ce terme fut propagé par Saint-Simon, puis popularisé par Auguste Comte, qui collabora étroitement avec Saint-Simon, dont il fut le secrétaire de 1817 à 1824.",commune,date,,1066
900,899,Saint-Simon,Auguste Comte,,,,,,,"Ce terme fut propagé par Saint-Simon, puis popularisé par Auguste Comte, qui collabora étroitement avec Saint-Simon, dont il fut le secrétaire de 1817 à 1824.",commune,personne,,1067
901,899,1817,Auguste Comte,,,,,,,"Ce terme fut propagé par Saint-Simon, puis popularisé par Auguste Comte, qui collabora étroitement avec Saint-Simon, dont il fut le secrétaire de 1817 à 1824.",date,personne,,1070
1076,1074,Meximieux,Vaugelas,Meximieux/paroisse/naît,Vaugelas/Antoine/fils/naît,nmod/nmod/ROOT,name/nmod/nsubj/ROOT,PROPN/NOUN/VERB,PROPN/PROPN/NOUN/VERB,"Second fils d'Antoine Favre, président du Sénat de Savoie à Chambéry et baron de Pérouges, Vaugelas naît au Clos Vaugelas dans la paroisse de Meximieux, qui fait partie à l'époque des États de Savoie.",commune,personne,,1291
1072,1074,Chambéry,Vaugelas,Chambéry/président/Antoine,Vaugelas/Antoine,nmod/appos/nmod,name/nmod,PROPN/NOUN/PROPN,PROPN/PROPN,"Second fils d'Antoine Favre, président du Sénat de Savoie à Chambéry et baron de Pérouges, Vaugelas naît au Clos Vaugelas dans la paroisse de Meximieux, qui fait partie à l'époque des États de Savoie.",commune,personne,http://www.wikidata.org/prop/direct/P131,1293
1216,1217,Roman Coppola,Talia Shire,Coppola/Sofia,Shire/Talia/frère/Sofia,name/appos,name/nmod/conj/appos,PROPN/PROPN,PROPN/PROPN/NOUN/PROPN,"Il est le père des réalisateurs Sofia et Roman Coppola, le frère de Talia Shire, le grand-père de la réalisatrice Gia Coppola et l'oncle des deux acteurs Nicolas Cage et Jason Schwartzman, pour ne citer que ces derniers.",personne,societe,,1428
1219,1217,Gia Coppola,Talia Shire,Coppola/Sofia,Shire/Talia/frère/Sofia,name/appos,name/nmod/conj/appos,PROPN/PROPN,PROPN/PROPN/NOUN/PROPN,"Il est le père des réalisateurs Sofia et Roman Coppola, le frère de Talia Shire, le grand-père de la réalisatrice Gia Coppola et l'oncle des deux acteurs Nicolas Cage et Jason Schwartzman, pour ne citer que ces derniers.",personne,societe,,1432
1220,1217,Nicolas Cage,Talia Shire,Cage/Nicolas/acteurs/oncle/Sofia,Shire/Talia/frère/Sofia,name/appos/nmod/conj/appos,name/nmod/conj/appos,PROPN/PROPN/NOUN/NOUN/PROPN,PROPN/PROPN/NOUN/PROPN,"Il est le père des réalisateurs Sofia et Roman Coppola, le frère de Talia Shire, le grand-père de la réalisatrice Gia Coppola et l'oncle des deux acteurs Nicolas Cage et Jason Schwartzman, pour ne citer que ces derniers.",personne,societe,,1436
1236,1234,Long Island,NBC,Island/Long/emménage/flûtiste,NBC/Orchestre/flûtiste,name/nmod/conj/ROOT,nmod/nmod/ROOT,PROPN/PROPN/VERB/NOUN,PROPN/PROPN/NOUN,"Deux ans après sa naissance, Carmine devient premier flûtiste de l'Orchestre symphonique de la NBC et emménage avec sa famille à Long Island.",commune,societe,,1467
1270,1271,1969,George Lucas,,,,,,,"En 1969, il fonde avec son ami George Lucas les studios American Zoetrope, basés à San Francisco.",date,personne,,1515
1270,1273,1969,San Francisco,,,,,,,"En 1969, il fonde avec son ami George Lucas les studios American Zoetrope, basés à San Francisco.",date,lieu,,1518
1350,1352,1976,États-Unis,,,,,,,"À la fin de l'année 1976, Coppola fait un premier retour aux États-Unis avec des centaines d'heures d'images qui s'avèrent être totalement inutilisables.",date,pays,,1603
1454,1453,2012,Turin,,,,,,,"Le film n'est projeté que dans quelques festivals comme Toronto et Turin, avant de sortir dans quelques pays en 2012.",date,lieu,,1724
1454,1452,2012,Toronto,,,,,,,"Le film n'est projeté que dans quelques festivals comme Toronto et Turin, avant de sortir dans quelques pays en 2012.",date,lieu,,1726
1553,1551,États-Unis,Horace Rowan Gaither,,,,,,,"L'influence de Horace Rowan Gaither, à travers la fondation Ford, sur le développement des études et écoles de commerce et de management aux États-Unis, est non négligeable.",pays,personne,,1841
1570,1573,Harvard Business School,Bruce Henderson,School/Harvard/business,Henderson/Bruce/valeurs/directeur/retiré/remplacé/ensemble/business,name/nmod/nmod,name/appos/conj/nmod/dep/conj/nmod/nmod,PROPN/PROPN/NOUN,PROPN/PROPN/NOUN/NOUN/VERB/VERB/NOUN/NOUN," Le cours de ""business policy""  de la Harvard Business School, qui traitait la stratégie d'entreprise dans la ""tradition distinguée de l'époque, non pas comme un ensemble de formules, mais comme la mission de l'entreprise, sa compétence distinctive, reflétant les valeurs de ses managers"", et n'était pas particulièrement populaire, a été ainsi remplacé par un autre cours intitulé ""Competition and Strategy"" , dont on avait retiré le contenu sur le directeur général et les ""valeurs de la société"" Bruce Henderson et le Boston Consulting Group.",organisation,personne,,1860
1601,1599,BCG,Igor Ansoff,BCG/vendait/appelait/ce/développer/appliquer/était,Ansoff/Igor/complexité/tranchait/approche/était,nsubj/ccomp/ccomp/cc/advcl/acl/ROOT,name/nmod/nmod/acl:relcl/nsubj/ROOT,PROPN/VERB/VERB/SCONJ/VERB/VERB/VERB,PROPN/PROPN/NOUN/VERB/NOUN/VERB,"Son approche, qui tranchait nettement avec la complexité de Igor Ansoff, était d'appliquer la méthodologie microéconomique pour développer ce qu'il appelait de ""puissantes ultrasimplifications"" , que le BCG vendait ensuite aux entreprises.",organisation,personne,,1882
1745,1747,2006,Seattle,,,,,,,"En 2006, elle est inscrite au ' du musée de la science-fiction à Seattle.",date,lieu,,2003
1881,1880,2007,Canada,,,,,,,"Au Canada, depuis 2007, il existe un vaccin pentavalent oral à virus vivant contre la gastro-entérite à rotavirus.",date,pays,,2145
1997,1999,Paris,Hôtel d'Hallwyll,Paris/fait,Hallwyll/Hôtel/connaître/fait,nmod/ROOT,nmod/nmod/xcomp/ROOT,PROPN/VERB,PROPN/PROPN/VERB/VERB,"À Paris, Ledoux se fait connaître en 1766 avec l'Hôtel d'Hallwyll, dans le quartier du Marais.",commune,societe,,2295
2081,2080,Besançon,Franche-Comté,,,,,,,"Faisant de fréquents séjours en Franche-Comté en raison de ses fonctions, Ledoux est choisi pour construire le théâtre de Besançon.",commune,region,http://www.wikidata.org/prop/direct/P1376,2400
2212,2211,saline d'Arc-et-Senans,Antoine-François Callet,,,,,,,"Le premier, attribué à Antoine-François Callet, représente l'architecte en compagnie de sa fille, tenant à la main le plan de la maison du directeur de la saline d'Arc-et-Senans.",commune,personne,,2526
2336,2339,1867,Londres,,,,,,,"En 1867, Du Chaillu réside à Twickenham où il rédige ""L'Afrique sauvage""  qui est publié à Londres chez Murray et est traduit en français l'année suivante chez Michel Lévy Frères.",date,lieu,,2662
2353,2354,Congo-Brazzaville,Gabon,,,,,,,"Depuis novembre 2000 au Congo-Brazzaville et au Gabon, l'apparition du virus Ebola a fait plusieurs centaines de victimes parmi les grands singes.",lieu,pays,,2671
2352,2353,2000,Congo-Brazzaville,,,,,,,"Depuis novembre 2000 au Congo-Brazzaville et au Gabon, l'apparition du virus Ebola a fait plusieurs centaines de victimes parmi les grands singes.",date,lieu,,2672
2352,2354,2000,Gabon,,,,,,,"Depuis novembre 2000 au Congo-Brazzaville et au Gabon, l'apparition du virus Ebola a fait plusieurs centaines de victimes parmi les grands singes.",date,pays,,2675
2436,2437,Campan,Achille Jubinal,Campan/commune,Jubinal/Achille/commune,nmod/nmod,name/nmod/nmod,PROPN/NOUN,PROPN/PROPN/NOUN,"Ce tableau a été donné en 1865 à la commune de Campan par Achille Jubinal, député au corps législatif pour l'arrondissement de Bagnères et mécène.",commune,personne,,2778
2473,2475,1969,Claude Viallat,,,,,,,"En 1969, il organise avec Marcel Alocco et Claude Viallat une exposition « La peinture en question » à l'École spéciale d'architecture à Paris.",date,personne,,2848
2477,2474,Paris,Marcel Alocco,Paris/École/question/peinture/organise,Alocco/Marcel/organise,nmod/nmod/nmod/dep/ROOT,name/nmod/ROOT,PROPN/NOUN/NOUN/NOUN/VERB,PROPN/PROPN/VERB,"En 1969, il organise avec Marcel Alocco et Claude Viallat une exposition « La peinture en question » à l'École spéciale d'architecture à Paris.",commune,personne,,2849
2498,2500,1974,Éthiopie,,,,,,,"Lucy, ou Dinqnesh , parfois écrit Dinknesh, est le surnom du fossile de l'espèce éteinte ""Australopithecus afarensis"" découvert en 1974 sur le site de Hadar, en Éthiopie, par une équipe de recherche internationale.",date,pays,,2883
2797,2796,Californie,Parc national de Yosemite,Californie/situé,Yosemite/Parc/situé,nmod/acl,nmod/nmod/acl,PROPN/VERB,PROPN/PROPN/VERB,"La contamination qui a potentiellement exposé plus de visiteurs de ""Curry Village"", situé dans le Parc national de Yosemite en Californie, s'est produite par la présence de rongeurs infectés dans les tentes-cabines à double-mur.",lieu,organisation,,3250
2940,2941,1980,Daniel Auteuil,,,,,,,"Puis elle joue de nombreux seconds rôles dans des séries télévisées et quelques comédies dont ""Les Sous-doués"" de Claude Zidi en 1980, où elle campe une prof d'histoire-géographie malmenée par la bande de cancres dirigée par Daniel Auteuil.",date,personne,,3371
2968,2970,2002,William Hurt,,,,,,,"En 2002, elle réunit Catherine Deneuve et William Hurt dans ""Au plus près du paradis"", comédie romantique conçue comme un hommage à ""Elle et lui"" de Leo McCarey.",date,personne,,3430
3207,3208,Seconde Guerre mondiale,Joseph Staline,mondiale/Guerre/fin,Staline/Joseph/impulsion/fin,amod/nmod/ROOT,name/nmod/conj/ROOT,ADJ/PROPN/NOUN,PROPN/PROPN/NOUN/NOUN,"C'est à partir de la fin de la Seconde Guerre mondiale, et principalement sous l'impulsion de Joseph Staline, que le terme de « démocratie populaire » entre réellement dans le vocabulaire politique courant.",organisation,personne,http://www.wikidata.org/prop/direct/P607,3659
3228,3231,Yougoslavie,Pologne,Yougoslavie,Pologne/République/République/République/Yougoslavie,nmod,nmod/conj/appos/conj/nmod,PROPN,PROPN/NOUN/NOUN/NOUN/PROPN,"Le terme de « démocratie populaire » est notamment utilisé pour désigner les régimes européens dits du bloc de l'Est, apparus en tant qu'États satellites de l'URSS: République fédérative socialiste de Yougoslavie , République démocratique allemande, République socialiste tchécoslovaque, République populaire de Hongrie, République populaire de Pologne, République socialiste de Roumanie, République populaire socialiste d'Albanie  et République populaire de Bulgarie.",lieu,pays,,3701
3227,3230,URSS,Hongrie,URSS,Hongrie/République/République/Yougoslavie/République/URSS,nmod,nmod/appos/conj/nmod/appos/nmod,X,PROPN/NOUN/NOUN/PROPN/NOUN/X,"Le terme de « démocratie populaire » est notamment utilisé pour désigner les régimes européens dits du bloc de l'Est, apparus en tant qu'États satellites de l'URSS: République fédérative socialiste de Yougoslavie , République démocratique allemande, République socialiste tchécoslovaque, République populaire de Hongrie, République populaire de Pologne, République socialiste de Roumanie, République populaire socialiste d'Albanie  et République populaire de Bulgarie.",lieu,pays,,3702
3257,3260,1948,Bulgarie,,,,,,,"En décembre 1948, le même Dimitrov, secrétaire général du Parti communiste bulgare et premier ministre de la République populaire de Bulgarie, donne la définition de la démocratie populaire comme un; il définit par la suite la démocratie populaire comme étant tout simplement une nouvelle forme de dictature du prolétariat.",date,pays,,3753
3265,3264,Europe de l'Est,Staline,Est/Europe/prise/contexte/opportuniste/optique,Staline/optique,nmod/nmod/nmod/nmod/amod/nmod,nmod/nmod,NOUN/PROPN/NOUN/NOUN/ADJ/NOUN,PROPN/NOUN,"L'usage du terme semble avoir été, dans l'optique de Staline, purement opportuniste dans le contexte de la prise du pouvoir en Europe de l'Est par les partis communistes, alors que ceux-ci n'avaient pas encore de plan précis en 1944-1945.",lieu,personne,,3755
3326,3327,1914,Académie des sciences de Paris,,,,,,,"Son inventeur serait Harold De Coninck, qui le 20 juillet 1914, envoie à l'Académie des sciences de Paris un pli cacheté  intitulé ""Invention du nettoyeur hygiénique pour oreilles"".",date,organisation,,3826
3390,3391,Chongqing,Wuhan,Chongqing,Wuhan/Chongqing,nmod,conj/nmod,PROPN,PROPN/PROPN,"Il serpente à travers les provinces du Qinghai, du Yunnan, du Sichuan, du Hubei, du Hunan, du Jiangxi, de l'Anhui et du Jiangsu et traverse les immenses agglomérations de Chongqing, Wuhan, Nankin et Shanghai.",lieu,personne,,3894
3471,3470,Chine,Yangzi Jiang,Chine/nord/fournir/détourner,Jiang/Yangzi/débit/proportion/détourner,nmod/nmod/advcl/acl,name/nmod/nmod/dobj/acl,PROPN/NOUN/VERB/VERB,PROPN/PROPN/NOUN/NOUN/VERB,"Le projet de transfert d'eaux nord-sud  a pour objectif de détourner une proportion du débit du Yangzi Jiang pour fournir de l'eau au nord de la Chine, une région fortement industrialisée et aride.",pays,personne,,3992
3489,3490,Asie,Égypte,Asie,Égypte/Asie,nmod,conj/nmod,PROPN,PROPN/PROPN,"Les premiers étalons, réalisés en cuivre ou en bronze, ont été réalisés en Asie et en Égypte avant l'invention de la monnaie.",lieu,pays,http://www.wikidata.org/prop/direct/P30,4000
3538,3539,Roberval,Oise,Roberval/nom/connu/mathématicien,Oise/originaire/mathématicien,nmod/nmod/acl/dep,nmod/conj/dep,PROPN/NOUN/VERB/NOUN,PROPN/ADJ/NOUN,"Cette balance doit son nom à son inventeur Gilles Personne, mathématicien et physicien français, connu sous le nom de Roberval, car il était originaire de Roberval dans l'Oise.",commune,departement,,4028
4032,4033,Créuse,Italie,Créuse/Énée/fils,Italie/amené/fils,conj/nmod/dobj,nmod/acl/dobj,PROPN/PROPN/NOUN,PROPN/VERB/NOUN,"Les Iulii, ou ""gens"" Iulia, appartiennent à une vieille famille de la Rome antique que la tradition fait descendre du Troyen Iule , fils d'Énée et de Créuse, amené en Italie par son père après la chute de Troie.",lieu,pays,,4503
4038,4035,Rome,Albe la Longue,Rome/patriciens/joint/famille/créateur/considéré,Longue/la/considéré,nmod/nmod/acl:relcl/nmod/nmod/ROOT,amod/dobj/ROOT,PROPN/NOUN/VERB/NOUN/NOUN/VERB,ADJ/PRON/VERB,"Ce fondateur d'Albe la Longue est considéré comme le créateur de la famille qui, selon l'empereur Claude, se joint ensuite aux patriciens de Rome.",lieu,organisation,,4525
4643,4641,guerre de Troie,Apollon,Troie/guerre/tirées/scènes,Apollon/revanche/scènes,nmod/nmod/acl/ROOT,conj/nmod/ROOT,PROPN/NOUN/VERB/NOUN,NOUN/NOUN/NOUN,"En revanche, ni Apollon, ni les Dioscures ne sont identifiés avec certitude sur les vases; les scènes tirées de la guerre de Troie brillent également par leur absence.",lieu,societe,,5165
4682,4683,Ménélas,Hermione,Ménélas,Hermione/Ménélas,appos,conj/appos,PROPN,PROPN/PROPN,"Inversement, Euripide représente ses personnages spartiates, Ménélas et Hermione, comme des êtres détestables, obnubilés par la richesse et le pouvoir, brutaux et fourbes.",lieu,personne,http://www.wikidata.org/prop/direct/P22,5209
4783,4784,Plutarque,Jean-Jacques Rousseau,Plutarque/Platon/travers/considère,Rousseau/Jean-Jacques/considère,conj/appos/nmod/ROOT,name/nsubj/ROOT,PROPN/PROPN/NOUN/VERB,PROPN/PROPN/VERB,"À travers Platon et Plutarque, Jean-Jacques Rousseau considère Sparte comme et, selon l'universitaire Paule-Monique Vernes; il la préfère ainsi à Athènes.",lieu,personne,,5347
4787,4784,Athènes,Jean-Jacques Rousseau,Athènes/préfère/comme/considère,Rousseau/Jean-Jacques/considère,nmod/conj/dep/ROOT,name/nsubj/ROOT,PROPN/VERB/ADP/VERB,PROPN/PROPN/VERB,"À travers Platon et Plutarque, Jean-Jacques Rousseau considère Sparte comme et, selon l'universitaire Paule-Monique Vernes; il la préfère ainsi à Athènes.",lieu,personne,,5353
4797,4799,Athènes,Gracchus Babeuf,Athènes/profit/autorité/étouffer,Babeuf/Gracchus/réminiscences/étouffer,nmod/nmod/nmod/ROOT,name/nmod/nmod/ROOT,PROPN/NOUN/NOUN/VERB,PROPN/PROPN/NOUN/VERB,"Après sa mort, les républicains délaissent Sparte, jugée étouffer la liberté sous l'autorité, au profit d'Athènes et de Rome, excepté quelques réminiscences chez Gracchus Babeuf et les « Égaux ».",lieu,societe,,5366
4810,4811,1928,Adolf Hitler,,,,,,,"En 1928, Adolf Hitler écrit que Sparte est le modèle du Troisième Reich à venir en tant que « premier État raciste » de l'histoire et archétype de l'État aryen.",date,personne,,5380
4858,4859,Paris,1676,,,,,,,", publié à Paris en 1676, un an après la description d'Athènes par le même auteur, de Guillet qui prétendait utiliser les souvenirs de son frère qui aurait voyagé dans l'Empire ottoman, était un faux  conçu à partir de divers ouvrages d'érudits n'ayant jamais quitté leur cabinet.",commune,date,,5460
4858,4860,Paris,Athènes,Paris/publié,Athènes/description/an/publié,nmod/ROOT,nmod/nmod/nmod/ROOT,PROPN/VERB,PROPN/NOUN/NOUN/VERB,", publié à Paris en 1676, un an après la description d'Athènes par le même auteur, de Guillet qui prétendait utiliser les souvenirs de son frère qui aurait voyagé dans l'Empire ottoman, était un faux  conçu à partir de divers ouvrages d'érudits n'ayant jamais quitté leur cabinet.",commune,lieu,,5463
4956,4957,France,George Sand,France,Sand/George/trouve/France,nmod,name/dobj/conj/nmod,PROPN,PROPN/PROPN/VERB/PROPN,"Les sœurs Brontë,  George Eliot ; en France au et début on trouve George Sand mais aussi Daniel Lesueur , Daniel Stern , Gérard d'Houville .",lieu,personne,http://www.wikidata.org/prop/direct/P27,5563
4956,4958,France,Daniel Lesueur,France,Lesueur/Daniel/George/trouve/France,nmod,name/conj/dobj/conj/nmod,PROPN,PROPN/PROPN/PROPN/VERB/PROPN,"Les sœurs Brontë,  George Eliot ; en France au et début on trouve George Sand mais aussi Daniel Lesueur , Daniel Stern , Gérard d'Houville .",lieu,personne,http://www.wikidata.org/prop/direct/P27,5568
5001,4999,Ermenonville,Première Guerre mondiale,Ermenonville/commune/nom/pseudonyme/comme/prit,mondiale/Guerre/prit,nmod/nmod/appos/dobj/cc/parataxis,amod/nmod/parataxis,PROPN/NOUN/NOUN/NOUN/SCONJ/VERB,ADJ/PROPN/VERB,"La plupart des révolutionnaires de l'empire russe prirent un pseudonyme: En France, pendant la Première Guerre mondiale, Gustave Dupin, militant ouvrier, prit comme pseudonyme le nom de la commune d'Ermenonville afin de publier divers ouvrages sur cette guerre.",commune,organisation,,5643
5001,4998,Ermenonville,France,Ermenonville/commune/nom/pseudonyme/comme/prit,France/prit,nmod/nmod/appos/dobj/cc/parataxis,nmod/parataxis,PROPN/NOUN/NOUN/NOUN/SCONJ/VERB,PROPN/VERB,"La plupart des révolutionnaires de l'empire russe prirent un pseudonyme: En France, pendant la Première Guerre mondiale, Gustave Dupin, militant ouvrier, prit comme pseudonyme le nom de la commune d'Ermenonville afin de publier divers ouvrages sur cette guerre.",commune,lieu,http://www.wikidata.org/prop/direct/P17,5646
5011,5012,Émilienne d'Alençon,Valtesse de La Bigne,Alençon/Émilienne/Ni,Bigne/Valtesse/avaient/Ni,nmod/conj/ROOT,nmod/nsubj/conj/ROOT,PROPN/PROPN/PROPN,PROPN/NOUN/VERB/PROPN,"Ni Liane de Pougy, ni Émilienne d'Alençon, ni Valtesse de La Bigne n'avaient aucun des titres de noblesse que leur pseudo-particule laisserait imaginer.",personne,societe,,5656
