id1,id2,entity1,entity2,ent1type,ent2type,shortest_dependency_path_p,shortest_dependency_path_w,shortest_dependency_path_t,original_sentence,id_entities_pair,relation
10011,10012,Mulhouse,10 juin,commune,date,acl:relcl/dobj/acl:relcl/nmod/aux,prévoir/mise/suivre/moi/avoir,VERB/NOUN/VERB/NOUN/AUX,"Dans les premiers mois qui ont suivi la mise en service de la LGV, Air France, qui avait prévu une réduction de 50 % du trafic aérien vers Strasbourg et Mulhouse, a observé un remplissage de ses appareils supérieur à 75 % depuis le 10 juin 2007, l'« effet TGV » étant limité probablement en raison de la différence peu évidente des tarifs entre le ferroviaire et l'aérien et du manque de places.",12618,
10010,10013,Strasbourg,2007,commune,date,acl:relcl/dobj/acl:relcl/nmod/aux/nummod,prévoir/mise/suivre/moi/avoir/10 juin,VERB/NOUN/VERB/NOUN/AUX/NUM,"Dans les premiers mois qui ont suivi la mise en service de la LGV, Air France, qui avait prévu une réduction de 50 % du trafic aérien vers Strasbourg et Mulhouse, a observé un remplissage de ses appareils supérieur à 75 % depuis le 10 juin 2007, l'« effet TGV » étant limité probablement en raison de la différence peu évidente des tarifs entre le ferroviaire et l'aérien et du manque de places.",12626,
10021,10019,Paris,2008,commune,date,acl/nmod/ROOT,entrainé/arrivée/baisser,VERB/NOUN/VERB,"La fréquentation de l'aéroport Metz-Nancy-Lorraine, quant à elle, a baissé de 15 % en 2008, l'arrivée du TGV ayant entrainé la fermeture des lignes vers Paris et Nantes.",12636,
10048,10047,Paris,2004,commune,date,nsubjpass/ROOT,ligne/emprunter,NOUN/VERB,"En 2004, la ligne classique Paris – Strasbourg a été empruntée par 6,9 millions de voyageurs.",12679,
11062,11061,Crest,2010,commune,date,nsubjpass/ROOT,commune/récompenser,NOUN/VERB,"En 2010, la commune de Crest a été récompensée par le label « Ville Internet @@ ».",14026,
11067,11068,Crest,2015,commune,date,ROOT/conj/nmod/acl:relcl/nmod/nmod,chef-lieu/diviser/canton/subsister/issu/élection,NOUN/VERB/NOUN/VERB/ADJ/NOUN,"Crest est le chef-lieu de 2 cantons, la commune elle-même est divisée entre ces deux cantons : À l'issue des élections départementales françaises de 2015, il ne subsiste plus qu'un seul canton.",14031,
11070,11069,Crest,2012,commune,date,ROOT/nmod,jumeler/août,VERB/NOUN,"Au août 2012, Crest est jumelée avec: Par ailleurs, une convention de partenariat aurait été signée avec la commune de Medvode  en 2008.",14034,
11475,11474,Avignon,27 octobre,commune,date,ROOT/conj,prendre/arriver,VERB/VERB,"L'abbé de Saint-Victor prit immédiatement la mer, arriva à Marseille le 27 octobre, et rejoignit seul Avignon, où il arriva alors que la Durance et le Rhône étaient en crue.",14411,
11473,11474,Marseille,27 octobre,commune,date,conj,arriver,VERB,"L'abbé de Saint-Victor prit immédiatement la mer, arriva à Marseille le 27 octobre, et rejoignit seul Avignon, où il arriva alors que la Durance et le Rhône étaient en crue.",14412,
11867,11865,Avignon,17 novembre,commune,date,nmod/nmod/advcl,ville/nom/faire,NOUN/NOUN/VERB,"Aussi le 17 novembre, pour faire déguerpir les Grandes Compagnies, au nom de la ville d'Avignon, emprunta aux banquiers de la cité des papes.",14908,
12137,12135,Beaucaire,25 septembre,commune,date,conj:et,installer,VERB,"Enfin le 25 septembre, Olivier de Mauny et ses troupes s'installèrent à Beaucaire en compagnie du duc.",15253,
17688,17689,Briançon,1939,commune,date,dobj/dobj/conj:et,unité/semaine/diriger,NOUN/NOUN/VERB,Il sera mobilisé comme lieutenant et dirigera au front quelques semaines cette unité d'artillerie dans le corps des chasseurs alpins à la frontière italienne près de Briançon en 1939.,22160,
17769,17770,Paris,1955,commune,date,nmod,mémoire,NOUN,La formulation sera changée dans le mémoire de Paris de 1955 en considérant que T est une fonction du temps.,22242,
18082,18080,Saint-Sébastien,2014,commune,date,nmod/dobj/acl/dobj/ROOT,ville/celui/dépasser/affluence/connaître,NOUN/PRON/VERB/NOUN/VERB,"En 2014, Bilbao connaît une affluence record, dépassant pour la première fois celle de la très prisée ville balnéaire de Saint-Sébastien.",22631,
3538,3539,Roberval,Oise,commune,departement,punct/dep/conj:et/cop,",/mathématicien/originaire/être",PUNCT/NOUN/ADJ/VERB,"Cette balance doit son nom à son inventeur Gilles Personne, mathématicien et physicien français, connu sous le nom de Roberval, car il était originaire de Roberval dans l'Oise.",4028,
7536,7538,Besançon,Var,commune,departement,acl/nsubj/acl/nmod/nmod,naître/auguste/mourir/Louis Jean Lumière/Besançon,VERB/PROPN/VERB/PROPN/PROPN,"Auguste Marie Louis Nicolas Lumière, né le à Besançon et mort le à Lyon et Louis Jean Lumière, né le à Besançon et mort le à Bandol dans le Var, sont deux ingénieurs et industriels français qui ont joué un rôle primordial et décisif dans l'histoire du cinéma et de la photographie.",8987,
8454,8451,Marseillan,Bouches-du-Rhône,commune,departement,conj:et/det/case/punct/nmod/ROOT/cc,"commune/le/à/""/Gard/étendre/et",NOUN/DET/ADP/PUNCT/PROPN/VERB/CONJ,"Le vignoble s'étend depuis le département des Bouches-du-Rhône et du Gard jusqu'aux communes de Frontignan, Marseillan, Mauguio, Sète, Vic-la-Gardiole, Villeneuve-lès-Maguelone et bien sur, Palavas-les-Flots, communes situées dans le département de l'Hérault.",10597,
9262,9264,Paris,Moselle,commune,departement,nmod/ROOT/nmod,est/phase/Baudrecourt,NOUN/NOUN/PROPN,"Une première phase de relie Vaires-sur-Marne  , à à l'est de Paris, à Baudrecourt "">Moselle) , où elle se raccorde aux lignes classiques Metz – Sarrebruck et Metz – Strasbourg.",11604,
9261,9264,Vaires-sur-Marne,Moselle,commune,departement,acl/ROOT/nmod,relier/phase/Baudrecourt,VERB/NOUN/PROPN,"Une première phase de relie Vaires-sur-Marne  , à à l'est de Paris, à Baudrecourt "">Moselle) , où elle se raccorde aux lignes classiques Metz – Sarrebruck et Metz – Strasbourg.",11608,
9291,9292,Saint-Hilaire-au-Temple,Marne,commune,departement,punct,suivre,PUNCT,"Ces bases étaient situées à Ocquerre , Vadenay et Saint-Hilaire-au-Temple "">Marne) et à Pagny-sur-Moselle .",11652,
9446,9447,viaduc de Jaulny,viaduc de la Moselle,commune,departement,dep/ROOT,viaduc de la Meuse/remarquable,NOUN/ADJ,"Parmi les quatorze viaducs que totalise la ligne, trois sont particulièrement remarquables: le viaduc de la Meuse , le viaduc de Jaulny  et le viaduc de la Moselle .",11872,
10816,10819,Crest,Drôme,commune,departement,ROOT/acl/nmod,commune française/situer/département,NOUN/VERB/NOUN,Crest — prononcé /kʁe/ — est une commune française située dans le département de la Drôme en région Auvergne-Rhône-Alpes.,13712,
10838,10839,Crest,Drôme,commune,departement,ROOT/dobj/nmod,subir/cru/rivière,VERB/ADJ/NOUN,Crest a subi de nombreuses crues de la rivière Drôme qui la traverse.,13730,
12442,12440,Toulouse,Vienne,commune,departement,conj/nmod,école/Orange,NOUN/PROPN,"Il œuvra à la création de plusieurs collèges universitaires "">Orange, Cracovie en 1364, Vienne en 1365), d'une école de musique à Toulouse.",15584,
18642,18639,Paris,Mayotte,commune,departement,appos/nmod,un/département,PRON/NOUN,"Il y a, en 2015, départementaux: un pour chaque département, dont Mayotte qui est le plus récent, sauf la Martinique et la Guyane  et Paris.",23246,
20330,20332,Paris,Vendée,commune,departement,dobj/ROOT/dobj,demeure/posséder/propriété,NOUN/VERB/NOUN,Ils possédaient une demeure à Paris et une propriété  sur l'île de Noirmoutier en Vendée.,25694,
26651,26654,Lyon,Ain,commune,departement,acl/nmod/nmod/case,naître/mourir/Saint-Didier-de-Formans/à,VERB/VERB/PROPN/ADP,"Marc Léopold Benjamin Bloch, né le à Lyon "">Rhône) et mort le à Saint-Didier-de-Formans "">Ain), est un historien français, fondateur avec Lucien Febvre des ""Annales d'histoire économique et sociale"" en 1929.",33890,
26732,26734,Fougères,Creuse,commune,departement,nmod/conj/nmod,hameau/commune/Bourg-d'Hem,NOUN/NOUN/PROPN,"Marc Bloch a tiré de cet événement majeur, qui a bouleversé sa vie, ""L'Étrange Défaite"", un livre posthume écrit dans la maison qu'il possédait au hameau de Fougères, commune du Bourg-d'Hem "">Creuse), de juillet à septembre 1940.",33995,
29066,29069,Grenoble,Aisne,commune,departement,punct/iobj/parataxis/amod,:/lui/Strasbourg/hôtelier,PUNCT/PRON/PROPN/ADJ,"En France, l'Opus ne s'est pas implanté fortement, malgré les sympathies de certains milieux,et même s'il existe de nombreux centres et associations qui lui sont liés: Une trentaine, à Paris, Lyon, Marseille, Aix-en-Provence, Toulouse, Grenoble et Strasbourg, une école technique hôtelière, l'École Dosnon de Couvrelles dans l'Aisne, ainsi qu'un centre international de rencontres au Château de Couvrelles, une maison d'édition  et des sociétés anonymes-'écrans aux activités de l'Œuvre .",36537,
30155,30156,Burie,Charente-Maritime,commune,departement,case/nsubj/ROOT,à/le/naître,ADP/PRON/VERB,"Fils d'Eugène Poitevin et de Néhomaïe Hiblot, il naît le à Montigny près de Burie en Charente-Maritime.",37850,
32775,32776,Draguignan,Var,commune,departement,acl,naître,VERB,"Alain Connes est un mathématicien français né le à Draguignan, dans le Var.",40890,
36955,36956,Nancy,Moselle,commune,departement,advcl/acl/nsubj/ROOT,franchir/canaliser/rivière/unir,VERB/VERB/NOUN/VERB,Cette rivière canalisée pour franchir Nancy s'unit à la Moselle au lieu-dit La Gueule d'enfer à Custines.,46170,
37102,37103,Nancy,Moselle,commune,departement,ROOT,gagner,VERB,"Puis les trains gagnent Rosières et Nancy, puis la Moselle à Frouard, prolongeant parfois jusqu'à Metz, Thionville.",46360,
37101,37103,Rosières,Moselle,commune,departement,ROOT,gagner,VERB,"Puis les trains gagnent Rosières et Nancy, puis la Moselle à Frouard, prolongeant parfois jusqu'à Metz, Thionville.",46365,
37211,37212,Nancy,Moselle,commune,departement,mark/nmod/det,à/rive/le,ADP/NOUN/DET,"La salure naturelle et aujourd'hui anthropique de la Meurthe rend ses eaux impropres à la potabilisation, forçant la ville de Nancy à amener par galerie filtrante de l'eau depuis la rive droite de la Moselle au niveau de Messein.",46483,
38774,38777,Charbonnières-les-Varennes,Puy-de-Dôme,commune,departement,ROOT/acl/nmod,commune française/situer/département,NOUN/VERB/NOUN,"Charbonnières-les-Varennes est une commune française, située dans le département du Puy-de-Dôme en région d'Auvergne-Rhône-Alpes.",48464,
39640,39639,Saint-Étienne,Sarthe,commune,departement,nmod/ROOT,déménager/faire,NOUN/VERB,"En 1946, il fait son entrée au Prytanée national militaire de La Flèche, dans la Sarthe, avant de déménager de nouveau à Saint-Étienne, et finalement passer son baccalauréat au collège épiscopal Saint-Étienne de Strasbourg, où il suit en parallèle des cours d'art dramatique, sa passion, contre l'avis de son père colonel qui le destine à une carrière militaire.",49673,
39822,39821,Noisiel,Marne,commune,departement,nmod/nmod,chute/raison,NOUN/NOUN,"Au niveau de Vaires, vers l'aval, elle se divise en, une Marne libre non navigable en raison de la chute de Noisiel  et le canal de Chelles, parallèle à la Marne accessible via une écluse et rejoignant la Marne à Neuilly-sur-Marne via Chelles.",49939,
40270,40271,Roussillon,Vaucluse,commune,departement,nmod/cc/nmod,guerre/puis/amie,NOUN/ADV/NOUN,"Samuel Beckett et sa compagne Suzanne Deschevaux-Dumesnil, prévenus par la femme d'Alfred Péron, échappent à l'arrestation et se réfugient chez leur amie écrivain Nathalie Sarraute aux environs de Paris puis pour la durée de la guerre dans le village de Roussillon dans le Vaucluse, en Zone libre.",50560,
40269,40271,Paris,Vaucluse,commune,departement,appos/nmod,Nathalie Sarraute/amie,PROPN/NOUN,"Samuel Beckett et sa compagne Suzanne Deschevaux-Dumesnil, prévenus par la femme d'Alfred Péron, échappent à l'arrestation et se réfugient chez leur amie écrivain Nathalie Sarraute aux environs de Paris puis pour la durée de la guerre dans le village de Roussillon dans le Vaucluse, en Zone libre.",50568,
40551,40548,Buc,Essonne,commune,departement,conj,Saclay,PROPN,"Les communes limitrophes en sont Les Loges-en-Josas au nord-est, Jouy-en-Josas à l'est, Saclay "">Essonne) au sud-est, Villiers-le-Bâcle  au sud, Châteaufort à l'ouest et Buc au nord.",50965,
40545,40548,Les Loges-en-Josas,Essonne,commune,departement,conj,Saclay,PROPN,"Les communes limitrophes en sont Les Loges-en-Josas au nord-est, Jouy-en-Josas à l'est, Saclay "">Essonne) au sud-est, Villiers-le-Bâcle  au sud, Châteaufort à l'ouest et Buc au nord.",50968,
42941,42942,Plounéventer,Finistère,commune,departement,appos,commune,NOUN,"Ventron est jumelée avec Plounéventer, commune du Finistère, depuis le.",54037,
42940,42942,Ventron,Finistère,commune,departement,ROOT/nmod/appos,jumeler/Plounéventer/commune,VERB/PROPN/NOUN,"Ventron est jumelée avec Plounéventer, commune du Finistère, depuis le.",54039,
51768,51770,arrondissement de Bobigny,Seine-Saint-Denis,commune,departement,case,de,ADP,Le redécoupage des anciens départements de la Seine et de Seine-et-Oise fait que la commune appartient désormais à l'arrondissement de Bobigny du département de la Seine-Saint-Denis après un transfert administratif effectif le.,64849,
51772,51773,Bobigny,Seine-Saint-Denis,commune,departement,nmod,circonscription,NOUN,"Pour l'élection des députés, Drancy fait partie avec Bobigny de la cinquième circonscription de la Seine-Saint-Denis.",64854,
51771,51773,Drancy,Seine-Saint-Denis,commune,departement,ROOT/nmod/nmod,faire/Bobigny/circonscription,VERB/PROPN/NOUN,"Pour l'élection des députés, Drancy fait partie avec Bobigny de la cinquième circonscription de la Seine-Saint-Denis.",64856,
51880,51881,Drancy,Seine-Saint-Denis,commune,departement,nsubj/ROOT/nmod,commissariat/arriver/circonscription,NOUN/VERB/NOUN,"Ainsi, le commissariat de Drancy arrive en position sur les 21 circonscriptions de police de la Seine-Saint-Denis en termes de délinquance.",64997,
9,12,Allenjoie,Doubs,commune,departement,ROOT/acl/nmod,commune française/situer/département,NOUN/VERB/NOUN,"Allenjoie est une commune française située dans le département du Doubs, en région Bourgogne-Franche-Comté.",19,http://www.wikidata.org/prop/direct/P150
309,307,Entraunes,Alpes-Maritimes,commune,departement,det/case/nmod/det/nmod,l/vers/amont/le/département,DET/ADP/NOUN/DET/NOUN,"Dans les deux départements des Alpes-de-Haute-Provence  et des Alpes-Maritimes , le Var traverse les trente-et-une communes suivantes, de l'amont vers l'aval, de Entraunes , Saint-Martin-d'Entraunes, Villeneuve-d'Entraunes, Guillaumes, Daluis, Saint-Léger, Sausses, Castellet-lès-Sausses, Saint-Benoît, Entrevaux, Puget-Théniers, Rigaud, Touët-sur-Var, Villars-sur-Var, Malaussène, Massoins, Tournefort, Utelle, Revest-les-Roches, Bonson, Levens, La Roquette-sur-Var, Saint-Martin-du-Var, Saint-Blaise, Castagniers, Carros, Gattières, Saint-Jeannet, La Gaude, Nice, Saint-Laurent-du-Var .",429,http://www.wikidata.org/prop/direct/P131
8045,8048,Palavas-les-Flots,Hérault,commune,departement,ROOT/nmod,commune française/département,NOUN/NOUN,"Palavas-les-Flots  est une commune française du département de l'Hérault, en région Occitanie, dans le sud-est de la France.",10052,http://www.wikidata.org/prop/direct/P150
8190,8188,Mauguio,Hérault,commune,departement,punct/punct/nmod/nmod,",/""/dictionnaire/département",PUNCT/PUNCT/NOUN/NOUN,"D'après le dictionnaire topographique du département de l'Hérault, le secteur de Palavas ou Pallas, souvent dénommé « Les Cabanes de Ballestras » dépendait en grande partie de la commune de Mauguio, et ce lieu fut érigée en commune indépendante le 29 janvier 1850.",10223,http://www.wikidata.org/prop/direct/P131
8459,8461,Palavas-les-Flots,Hérault,commune,departement,punct/acl,",/situer",PUNCT/VERB,"Le vignoble s'étend depuis le département des Bouches-du-Rhône et du Gard jusqu'aux communes de Frontignan, Marseillan, Mauguio, Sète, Vic-la-Gardiole, Villeneuve-lès-Maguelone et bien sur, Palavas-les-Flots, communes situées dans le département de l'Hérault.",10580,http://www.wikidata.org/prop/direct/P150
8458,8461,Villeneuve-lès-Maguelone,Hérault,commune,departement,conj:et/det/amod/acl,commune/le/commun/situer,NOUN/DET/ADJ/VERB,"Le vignoble s'étend depuis le département des Bouches-du-Rhône et du Gard jusqu'aux communes de Frontignan, Marseillan, Mauguio, Sète, Vic-la-Gardiole, Villeneuve-lès-Maguelone et bien sur, Palavas-les-Flots, communes situées dans le département de l'Hérault.",10590,http://www.wikidata.org/prop/direct/P150
9100,9101,Vendenheim,Bas-Rhin,commune,departement,nsubj,qui,PRON,"La LGV Est européenne, ou  et , est une ligne à grande vitesse française, qui relie Vaires-sur-Marne en Seine-et-Marne à Vendenheim dans le Bas-Rhin.",11339,http://www.wikidata.org/prop/direct/P150
9111,9112,Baudrecourt,Moselle,commune,departement,nsubj,relier,VERB,"Le premier tronçon de la ligne, long de et reliant Vaires-sur-Marne et Baudrecourt "">Moselle) est en service depuis le 10 juin 2007.",11365,http://www.wikidata.org/prop/direct/P150
9404,9407,Forbach,Moselle,commune,departement,acl:relcl/nmod/nmod/punct/dobj/case,"relier/Baudrecourt/banlieue/,/sens/de",VERB/PROPN/NOUN/PUNCT/NOUN/ADP,"Le premier tronçon de la ligne s'étend sur de Vaires-sur-Marne, dans l'Est de la banlieue parisienne, à Baudrecourt, où une voie unique relie la LGV à la ligne de Rémilly à Sarrebruck vers Forbach et Sarrebruck, tandis qu'un saut-de-mouton bascule le sens de circulation de gauche  à droite "">Moselle), pour continuer sur la ligne vers Réding.",11812,http://www.wikidata.org/prop/direct/P150
11875,11873,Avignon,Rhône,commune,departement,ROOT/nmod,présenter/rive,VERB/NOUN,"Dès que la « Longue Route » des Grandes Compagnies eut quitté les rives du Rhône, une somptueuse ambassade envoyée par la Seigneurie de Florence se présenta devant Avignon.",14914,http://www.wikidata.org/prop/direct/P206
12983,12984,Vichy,Allier,commune,departement,appos/nmod,Ligier/usine,PROPN/NOUN,"L'assemblage était assuré par les usines de Javel à Paris puis à la fin par les usines Ligier  près de Vichy "">Allier).",16203,http://www.wikidata.org/prop/direct/P150
13569,13571,Issy-les-Moulineaux,Hauts-de-Seine,commune,departement,acl:relcl/nmod,trouver/département,VERB/NOUN,"Toutes les directions des activités de Nestlé sont basées au siège mondial à Vevey, sauf celle des « Eaux », dénommée Nestlé Waters, dont le siège se trouve à Issy-les-Moulineaux dans le département des Hauts-de-Seine, en France.",16963,http://www.wikidata.org/prop/direct/P150
18224,18221,Roscoff,Finistère,commune,departement,dobj/acl/appos/nsubj/appos,escale/faire/Brittany Ferries relie Santurtzi/ferry/cap,NOUN/VERB/PROPN/NOUN/PROPN,"Le ferry ""Cap Finistère"" de la compagnie Brittany Ferries relie Santurtzi  à Portsmouth , faisant escale également à Roscoff en Bretagne.",22783,http://www.wikidata.org/prop/direct/P131
24227,24230,Algrange,Moselle,commune,departement,ROOT/acl/nmod,commune française/situer/département,NOUN/VERB/NOUN,"Algrange est une commune française située dans le département de la Moselle, en région Grand Est.",30876,http://www.wikidata.org/prop/direct/P150
24235,24234,Thionville,Moselle,commune,departement,nmod/nmod/acl/nmod,ouest/dizaine/trouver/rive,NOUN/NOUN/VERB/NOUN,"La commune d'Algrange se trouve sur la rive gauche de la Moselle, à une dizaine de kilomètres à l'ouest de Thionville.",30877,http://www.wikidata.org/prop/direct/P131
24233,24234,Algrange,Moselle,commune,departement,acl/nmod,trouver/rive,VERB/NOUN,"La commune d'Algrange se trouve sur la rive gauche de la Moselle, à une dizaine de kilomètres à l'ouest de Thionville.",30878,http://www.wikidata.org/prop/direct/P150
24274,24275,Algrange,Moselle,commune,departement,ROOT/nmod,un/municipalité,PRON/NOUN,"Algrange fut l'une des trois premières municipalités de Moselle, avec Hagondange et Amnéville, à être dirigée par un maire communiste, en 1923.",30927,http://www.wikidata.org/prop/direct/P150
26653,26654,Saint-Didier-de-Formans,Ain,commune,departement,case,à,ADP,"Marc Léopold Benjamin Bloch, né le à Lyon "">Rhône) et mort le à Saint-Didier-de-Formans "">Ain), est un historien français, fondateur avec Lucien Febvre des ""Annales d'histoire économique et sociale"" en 1929.",33877,http://www.wikidata.org/prop/direct/P150
27489,27491,Tatakoto,Polynésie française,commune,departement,dep/conj/nmod/nmod,Makatea/représenter/%/production,PROPN/VERB/SYM/NOUN,"Enfin, 7 îles disposent de centrales hybride solaire-thermique: Makatea , Ahe , Fangatau , Fakahina , Napuka, Reao, Tatakoto  réalisées sur fonds publics Au total, la production d'électricité photovoltaïque représente une part inférieure à 4 % de la production électrique totale de Polynésie française .",34838,http://www.wikidata.org/prop/direct/P150
